timestamp,X,Y,Z,timestamp2,esito_positivo,esito_negativo
1490200747,35151,35151,35151,1490200747,2,0
1490294320,35632,8171,35632,1490294637,2,0
1490300033,34632,34513,34632,1490300181,2,0
1490300033,34632,34513,34632,1490300259,2,0
1490300033,34632,34513,34632,1490300710,2,0
1490300033,34632,34513,34632,1490300769,2,0
1490300033,34632,34513,34632,1490301109,2,0
1490456907,1765,1786,1765,1490456991,2,0
1490456991,1786,1765,1786,1490457057,4,0
1490478110,34632,34513,34632,1490478174,2,0
1490570786,8171,1953,8171,1490572313,2,0
1490571741,8171,1953,8171,1490572313,2,0
1490612231,34513,8171,34513,1490612252,2,0
1490612231,34513,8171,34513,1490612373,2,0
1490623389,69,68,69,1490623744,2,0
1490623391,69,68,69,1490623744,2,0
1490623537,69,68,69,1490623744,2,0
1490623744,68,69,68,1490623770,4,0
1490623744,68,69,68,1490623771,2,0
1490623744,68,69,68,1490623862,4,0
1490623744,68,69,68,1490623863,2,0
1490623744,68,69,68,1490623936,4,0
1490623744,68,69,68,1490623937,2,0
1490627574,34513,34666,34513,1490627879,4,0
1490631889,8171,1953,8171,1490632339,2,0
1490636239,8171,34513,8171,1490637665,2,0
1490718303,34513,34632,34513,1490718880,2,0
1490738668,34513,34632,34513,1490740462,2,0
1490808324,34666,34513,34666,1490808334,2,0
1490808325,34666,34513,34666,1490808334,2,0
1490818148,68,69,68,1490818879,4,0
1490818148,68,69,68,1490818883,2,0
1490818149,68,69,68,1490818879,4,0
1490818149,68,69,68,1490818883,2,0
1490818153,68,69,68,1490818879,4,0
1490818153,68,69,68,1490818883,2,0
1490821963,35433,8171,35433,1490823260,2,0
1490897467,68,69,68,1490898181,2,0
1490897467,68,69,68,1490898182,2,0
1490897467,68,69,68,1490898185,2,0
1490897467,68,69,68,1490898405,2,0
1490897467,68,69,68,1490898462,2,0
1490898181,69,68,69,1490898444,2,0
1490898182,69,68,69,1490898444,2,0
1490898185,69,68,69,1490898444,2,0
1490898405,69,68,69,1490898444,2,0
1490898444,68,69,68,1490898462,2,0
1490902683,34513,34666,34513,1490903664,2,0
1490902683,34513,34666,34513,1490903665,2,0
1490903386,34513,34666,34513,1490903664,2,0
1490903386,34513,34666,34513,1490903665,2,0
1490903664,34666,34513,34666,1490903724,2,0
1490903664,34666,34513,34666,1490903733,2,0
1490903665,34666,34513,34666,1490903724,2,0
1490903665,34666,34513,34666,1490903733,2,0
1490950532,1848,1765,1848,1490950665,2,0
1490950532,1848,1765,1848,1490951329,2,0
1490950532,1848,1765,1848,1490951755,2,0
1490950665,1765,1848,1765,1490951312,2,0
1490951312,1848,1765,1848,1490951329,2,0
1490951312,1848,1765,1848,1490951755,2,0
1490987806,34513,8171,34513,1490988038,1,1
1490987806,34513,8171,34572,1490988589,1,1
1490987806,34513,8171,34572,1490989482,1,1
1490988589,8171,34572,8171,1490988677,2,0
1490988677,34572,8171,34572,1490989482,2,0
1490988677,34572,8171,43946,1490989620,2,0
1490989620,8171,43946,8171,1490989683,2,0
1490989620,8171,43946,8171,1490989685,2,0
1490989683,43946,8171,43946,1490990889,2,0
1490989685,43946,8171,43946,1490990889,2,0
1490990293,1773,1765,1786,1490991071,4,0
1491248522,8042,1953,8042,1491248572,2,0
1491248522,8042,1953,8042,1491248575,2,0
1491248522,8042,1953,8042,1491248582,2,0
1491248522,8042,1953,8042,1491248585,2,0
1491248522,8042,1953,8042,1491248882,2,0
1491248522,8042,1953,8042,1491248887,2,0
1491248522,8042,1953,8042,1491248891,2,0
1491248522,8042,1953,8042,1491248894,2,0
1491248522,8042,1953,8042,1491248898,2,0
1491248522,8042,1953,8042,1491248899,2,0
1491248522,8042,1953,8042,1491248905,2,0
1491248522,8042,1953,8042,1491248909,2,0
1491248522,8042,1953,8042,1491250105,2,0
