timestamp,A,X,B,Y,esito_positivo,esito_negativo
1524356021,41334,8520,41334,8520,3,0
1524356022,41334,8520,41334,8520,3,0
1524356032,41334,8520,41334,8520,3,0
1524356033,41334,8520,41334,8520,3,0
1524357390,41334,8520,41334,8520,3,0
1524357471,41334,8520,41334,8520,3,0
1524357473,41334,8520,41334,8520,3,0
1524357566,41334,8520,41334,8520,3,0
1524412181,41334,8520,41334,8520,3,0
1524412183,41334,8520,41334,8520,3,0
1524413217,41334,8520,41334,8520,3,0
1524425779,7526,7514,7561,7514,3,0
1524429818,8522,8520,33341,8520,3,0
1524472822,18637,228,23894,228,3,0
1524472824,18637,228,23894,228,3,0
1524487881,41334,8520,41334,8520,3,0
1524487882,41334,8520,41334,8520,3,0
1524492967,23821,228,23931,228,3,0
1524493876,23928,228,23931,228,3,0
1524494992,23931,228,5338,228,3,0
1524495034,23932,228,5338,228,3,0
1524495035,23932,228,5338,228,3,0
1524495057,23205,228,5338,228,3,0
1524495076,23205,228,5338,228,3,0
1524495460,23205,228,5338,228,3,0
1524496055,4891,228,5338,228,3,0
1524496380,34344,228,5338,228,3,0
1524497659,7649,11,7649,11,3,0
1524497729,7649,11,7649,11,3,0
1524501525,2892,228,23940,228,3,0
1524501711,37997,228,23940,228,3,0
1524501711,37998,228,23940,228,3,0
1524502472,20311,228,23940,228,3,0
1524564347,1776,1765,4697,1765,3,0
1524564745,1776,1765,4697,1765,3,0
1524565492,1776,1765,4697,1765,3,0
1524649367,7526,7514,7562,7514,3,0
1524657220,41356,8520,41356,8520,3,0
1524657221,41356,8520,41356,8520,3,0
1524657275,41356,8520,41356,8520,3,0
1524659053,41356,8520,41356,8520,3,0
1524659054,41356,8520,41356,8520,3,0
1524659511,41356,8520,41356,8520,3,0
1524659512,41356,8520,41356,8520,3,0
1524659691,41356,8520,41356,8520,3,0
1524659761,41356,8520,41356,8520,3,0
1524659762,41356,8520,41356,8520,3,0
1524659871,41356,8520,41356,8520,3,0
1524659872,41356,8520,41356,8520,3,0
1524659895,41356,8520,41356,8520,3,0
1524659896,41356,8520,41356,8520,3,0
1524659948,41356,8520,41356,8520,3,0
1524659949,41356,8520,41356,8520,3,0
1524660576,41356,8520,41356,8520,3,0
1524660579,41356,8520,41356,8520,3,0
1524660620,41356,8520,41356,8520,3,0
1524660621,41356,8520,41356,8520,3,0
1524663518,7526,7514,7570,7514,3,0
1524664885,1776,1765,1776,1765,3,0
1524668907,41614,228,23106,228,3,0
1524670054,41975,228,23106,228,3,0
1524670655,23106,228,23370,228,3,0
1524674345,23115,228,23980,228,3,0
1524674416,34330,228,23980,228,3,0
1524683307,24029,228,23205,228,3,0
1524683330,24029,228,23205,228,3,0
1524683393,24029,228,23205,228,3,0
1524685144,41979,228,23942,228,3,0
1524685411,23205,228,23942,228,3,0
1524685412,23205,228,23942,228,3,0
1524685487,22550,228,23942,228,3,0
1524685966,24032,228,23942,228,3,0
1524687114,41884,228,24036,228,3,0
1524687152,41884,228,24036,228,3,0
1524687194,1318,228,24036,228,3,0
1524687666,24033,228,24036,228,3,0
1524765749,1956,1,1956,1,3,0
1524771286,35866,228,24079,228,3,0
1524771570,1776,8270,1776,8270,3,0
1524772032,24076,228,24079,228,3,0
1524772034,24077,228,24079,228,3,0
1524772035,24077,228,24079,228,3,0
1524772067,24077,228,24079,228,3,0
1524772068,24077,228,24079,228,3,0
1524772142,24076,228,24079,228,3,0
1524772188,24077,228,24079,228,3,0
1524772189,24077,228,24079,228,3,0
1524772270,24078,228,24079,228,3,0
1524772289,24078,228,24079,228,3,0
1524818925,8652,8520,8652,8520,3,0
1524828489,41852,228,5487,228,3,0
1524828512,24091,228,5487,228,3,0
1524828536,24091,228,5487,228,3,0
1524828537,24091,228,5487,228,3,0
1524844237,8524,8520,8524,8520,3,0
