timestamp,event_type,n_1a,n_1b,n_2,n_3a,n_3b,n_3c,n_4a,n_4b,n_4c,n_4d,n_1_comune,n_2_comune
1513692707,8,0,1,0,0,0,0,0,0,20,8,7,7
1513692828,8,0,1,0,0,0,0,0,0,20,8,7,7
1513692909,8,0,1,0,0,0,0,0,0,20,8,7,7
1513693464,8,0,1,0,0,0,0,0,0,20,8,7,7
1513696782,9,0,1,0,0,0,0,0,0,20,8,7,7
1513696787,9,0,1,0,0,0,0,0,0,20,8,7,7
1513702492,9,0,1,0,0,0,0,0,0,20,8,7,7
1513702715,9,0,1,0,0,0,0,0,0,20,8,7,7
1513702755,9,0,1,0,0,0,0,0,0,20,8,7,7
1513702756,9,0,1,0,0,0,0,0,0,20,8,7,7
1513703033,9,0,1,0,0,0,0,0,0,20,8,7,7
1513703461,9,0,1,0,0,0,0,0,0,20,8,7,7
1513706908,1,0,1,0,0,0,0,0,0,20,8,7,7
1513707701,8,0,1,0,0,0,0,0,0,20,8,7,7
1513708062,8,0,1,0,0,0,0,0,0,20,8,7,7
1513708155,8,0,1,0,0,0,0,0,0,20,8,7,7
1513708235,8,0,1,0,0,0,0,0,0,20,8,7,7
1513708483,8,0,1,0,0,0,0,0,0,20,8,7,7
1513768366,1,0,10,0,0,0,0,0,0,9,7,4,8
1513772657,9,0,10,0,0,0,0,0,0,9,7,4,8
1513772662,9,0,10,0,0,0,0,0,0,9,7,4,8
1513776059,1,0,10,0,0,0,0,0,0,9,7,4,8
1513776098,1,0,10,0,0,0,0,0,0,9,7,4,8
1513776137,1,0,10,0,0,0,0,0,0,9,7,4,8
1513776564,1,0,10,0,0,0,0,0,0,9,7,4,8
1513781410,1,0,10,0,0,0,0,0,0,9,7,4,8
1513781464,1,0,10,0,0,0,0,0,0,9,7,4,8
1513781651,9,0,10,0,0,0,0,0,0,9,7,4,8
1513781658,9,0,10,0,0,0,0,0,0,9,7,4,8
1513781780,1,0,10,0,0,0,0,0,0,9,7,4,8
1513781975,1,0,10,0,0,0,0,0,0,9,7,4,8
1513782034,1,0,10,0,0,0,0,0,0,9,7,4,8
1513790171,8,0,10,0,0,0,0,0,0,9,7,4,8
1513790298,8,0,10,0,0,0,0,0,0,9,7,4,8
1513790406,9,0,10,0,0,0,0,0,0,9,7,4,8
1513790533,8,0,10,0,0,0,0,0,0,9,7,4,8
1513790534,8,0,10,0,0,0,0,0,0,9,7,4,8
1513790678,9,0,10,0,0,0,0,0,0,9,7,4,8
1513790775,8,0,10,0,0,0,0,0,0,9,7,4,8
1513790776,8,0,10,0,0,0,0,0,0,9,7,4,8
1513790835,8,0,10,0,0,0,0,0,0,9,7,4,8
1513790848,9,0,10,0,0,0,0,0,0,9,7,4,8
1513791390,8,0,10,0,0,0,0,0,0,9,7,4,8
1513791407,8,0,10,0,0,0,0,0,0,9,7,4,8
1513849451,9,0,8,1,0,0,0,0,0,10,1,1,6
1513865501,8,0,8,1,0,0,0,0,0,10,1,1,6
1513865502,8,0,8,1,0,0,0,0,0,10,1,1,6
1513865601,8,0,8,1,0,0,0,0,0,10,1,1,6
1513865602,8,0,8,1,0,0,0,0,0,10,1,1,6
1513866409,8,0,8,1,0,0,0,0,0,10,1,1,6
1513866410,8,0,8,1,0,0,0,0,0,10,1,1,6
1513866458,8,0,8,1,0,0,0,0,0,10,1,1,6
1513866460,8,0,8,1,0,0,0,0,0,10,1,1,6
1513866883,8,0,8,1,0,0,0,0,0,10,1,1,6
1513876039,8,0,8,1,0,0,0,0,0,10,1,1,6
1513882366,1,0,8,1,0,0,0,0,0,10,1,1,6
1513882437,1,0,8,1,0,0,0,0,0,10,1,1,6
1513882648,1,0,8,1,0,0,0,0,0,10,1,1,6
1513882766,1,0,8,1,0,0,0,0,0,10,1,1,6
1513882861,1,0,8,1,0,0,0,0,0,10,1,1,6
1513883118,1,0,8,1,0,0,0,0,0,10,1,1,6
1513883239,1,0,8,1,0,0,0,0,0,10,1,1,6
1513883376,1,0,8,1,0,0,0,0,0,10,1,1,6
1513883416,2,0,8,1,0,0,0,0,0,10,1,1,6
1513950448,9,0,1,1,0,0,0,0,0,0,2,2,0
1513956812,9,0,1,1,0,0,0,0,0,0,2,2,0
1513966383,1,0,1,1,0,0,0,0,0,0,2,2,0
1513969666,2,0,1,1,0,0,0,0,0,0,2,2,0
1514032387,9,0,2,3,0,0,0,0,0,0,21,5,6
1514032391,9,0,2,3,0,0,0,0,0,0,21,5,6
1514036921,2,0,2,3,0,0,0,0,0,0,21,5,6
1514037091,2,0,2,3,0,0,0,0,0,0,21,5,6
1514037693,2,0,2,3,0,0,0,0,0,0,21,5,6
1514039507,9,0,2,3,0,0,0,0,0,0,21,5,6
1514041759,9,0,2,3,0,0,0,0,0,0,21,5,6
1514041765,9,0,2,3,0,0,0,0,0,0,21,5,6
1514042785,9,0,2,3,0,0,0,0,0,0,21,5,6
1514044365,9,0,2,3,0,0,0,0,0,0,21,5,6
1514047451,9,0,2,3,0,0,0,0,0,0,21,5,6
1514056908,9,0,2,3,0,0,0,0,0,0,21,5,6
1514056968,9,0,2,3,0,0,0,0,0,0,21,5,6
1514057034,9,0,2,3,0,0,0,0,0,0,21,5,6
1514057128,9,0,2,3,0,0,0,0,0,0,21,5,6
1514057339,1,0,2,3,0,0,0,0,0,0,21,5,6
1514057409,9,0,2,3,0,0,0,0,0,0,21,5,6
1514057454,9,0,2,3,0,0,0,0,0,0,21,5,6
1514057548,9,0,2,3,0,0,0,0,0,0,21,5,6
1514057617,9,0,2,3,0,0,0,0,0,0,21,5,6
1514057709,9,0,2,3,0,0,0,0,0,0,21,5,6
1514057735,9,0,2,3,0,0,0,0,0,0,21,5,6
1514057772,1,0,2,3,0,0,0,0,0,0,21,5,6
1514057785,9,0,2,3,0,0,0,0,0,0,21,5,6
1514058090,9,0,2,3,0,0,0,0,0,0,21,5,6
1514067815,9,0,2,3,0,0,0,0,0,0,21,5,6
1514127123,9,0,4,0,0,0,0,0,0,0,19,0,5
1514128825,1,0,4,0,0,0,0,0,0,0,19,0,5
1514128826,1,0,4,0,0,0,0,0,0,0,19,0,5
1514131312,1,0,4,0,0,0,0,0,0,0,19,0,5
1514131313,1,0,4,0,0,0,0,0,0,0,19,0,5
1514136749,9,0,4,0,0,0,0,0,0,0,19,0,5
1514136814,9,0,4,0,0,0,0,0,0,0,19,0,5
1514136904,9,0,4,0,0,0,0,0,0,0,19,0,5
1514136985,9,0,4,0,0,0,0,0,0,0,19,0,5
1514136995,9,0,4,0,0,0,0,0,0,0,19,0,5
1514137086,9,0,4,0,0,0,0,0,0,0,19,0,5
1514137855,9,0,4,0,0,0,0,0,0,0,19,0,5
1514138305,9,0,4,0,0,0,0,0,0,0,19,0,5
1514138481,9,0,4,0,0,0,0,0,0,0,19,0,5
1514138517,9,0,4,0,0,0,0,0,0,0,19,0,5
1514138863,9,0,4,0,0,0,0,0,0,0,19,0,5
1514138884,9,0,4,0,0,0,0,0,0,0,19,0,5
1514138934,9,0,4,0,0,0,0,0,0,0,19,0,5
1514138977,9,0,4,0,0,0,0,0,0,0,19,0,5
1514139110,9,0,4,0,0,0,0,0,0,0,19,0,5
1514146313,9,0,4,0,0,0,0,0,0,0,19,0,5
1514150397,9,0,4,0,0,0,0,0,0,0,19,0,5
1514150758,9,0,4,0,0,0,0,0,0,0,19,0,5
1514245064,9,0,1,0,0,0,0,0,0,0,1,0,0
1514278040,1,0,4,0,0,0,0,0,0,0,2,0,2
1514306678,9,0,4,0,0,0,0,0,0,0,2,0,2
1514310713,1,0,4,0,0,0,0,0,0,0,2,0,2
1514310839,1,0,4,0,0,0,0,0,0,0,2,0,2
1514310893,1,0,4,0,0,0,0,0,0,0,2,0,2
1514321329,9,0,3,0,0,0,0,0,0,0,2,0,2
1514377898,9,0,0,0,0,0,0,0,0,0,10,0,4
1514394912,9,0,0,0,0,0,0,0,0,0,10,0,4
1514398199,9,0,0,0,0,0,0,0,0,0,10,0,4
1514398209,9,0,0,0,0,0,0,0,0,0,10,0,4
1514398227,9,0,0,0,0,0,0,0,0,0,10,0,4
1514398264,9,0,0,0,0,0,0,0,0,0,10,0,4
1514398297,9,0,0,0,0,0,0,0,0,0,10,0,4
1514398341,9,0,0,0,0,0,0,0,0,0,10,0,4
1514409746,9,0,0,0,0,0,0,0,0,0,10,0,4
1514414342,9,0,0,0,0,0,0,0,0,0,10,0,4
1514479016,1,0,2,0,0,0,0,0,0,0,0,2,0
1514479018,1,0,2,0,0,0,0,0,0,0,0,2,0
1514539699,9,0,0,0,0,0,0,0,0,0,4,2,1
1514539705,9,0,0,0,0,0,0,0,0,0,4,2,1
1514562616,9,0,0,0,0,0,0,0,0,0,4,2,1
1514562622,9,0,0,0,0,0,0,0,0,0,4,2,1
1514658745,9,0,0,0,0,0,0,0,0,0,7,0,2
1514658748,9,0,0,0,0,0,0,0,0,0,7,0,2
1514658841,9,0,0,0,0,0,0,0,0,0,7,0,2
1514658905,9,0,0,0,0,0,0,0,0,0,7,0,2
1514659027,9,0,0,0,0,0,0,0,0,0,7,0,2
1514659031,9,0,0,0,0,0,0,0,0,0,7,0,2
1514659088,9,0,0,0,0,0,0,0,0,0,7,0,2
1514835231,9,0,0,0,0,0,0,0,0,0,5,0,2
1514835960,9,0,0,0,0,0,0,0,0,0,5,0,2
1514836804,9,0,0,0,0,0,0,0,0,0,5,0,2
1514837867,9,0,0,0,0,0,0,0,0,0,5,0,2
1514837961,9,0,0,0,0,0,0,0,0,0,5,0,2
1514901414,1,0,1,0,0,0,0,0,0,0,1,0,0
1514915093,9,0,1,0,0,0,0,0,0,0,1,0,0
1514990401,8,0,3,0,0,0,0,0,0,20,4,4,9
1514990402,8,0,3,0,0,0,0,0,0,20,4,4,9
1514990611,8,0,3,0,0,0,0,0,0,20,4,4,9
1514991068,8,0,3,0,0,0,0,0,0,20,4,4,9
1514991069,8,0,3,0,0,0,0,0,0,20,4,4,9
1514991192,8,0,3,0,0,0,0,0,0,20,4,4,9
1514991308,8,0,3,0,0,0,0,0,0,20,4,4,9
1514993255,8,0,3,0,0,0,0,0,0,20,4,4,9
1514993465,8,0,3,0,0,0,0,0,0,20,4,4,9
1514993659,8,0,3,0,0,0,0,0,0,20,4,4,9
1515003369,8,0,3,0,0,0,0,0,0,20,4,4,9
1515004155,8,0,3,0,0,0,0,0,0,20,4,4,9
1515004156,8,0,3,0,0,0,0,0,0,20,4,4,9
1515004197,8,0,3,0,0,0,0,0,0,20,4,4,9
1515004222,8,0,3,0,0,0,0,0,0,20,4,4,9
1515004512,8,0,3,0,0,0,0,0,0,20,4,4,9
1515004915,8,0,3,0,0,0,0,0,0,20,4,4,9
1515004928,9,0,3,0,0,0,0,0,0,20,4,4,9
1515004940,8,0,3,0,0,0,0,0,0,20,4,4,9
1515004943,8,0,3,0,0,0,0,0,0,20,4,4,9
1515005085,8,0,3,0,0,0,0,0,0,20,4,4,9
1515011389,9,0,3,0,0,0,0,0,0,20,4,4,9
1515014941,9,0,3,0,0,0,0,0,0,20,4,4,9
1515015264,9,0,3,0,0,0,0,0,0,20,4,4,9
1515019819,1,0,3,0,0,0,0,0,0,20,4,4,9
1515020982,1,0,3,0,0,0,0,0,0,20,4,4,9
1515021032,1,0,3,0,0,0,0,0,0,20,4,4,9
1515080549,9,0,0,0,0,0,0,0,0,1,8,2,2
1515080596,9,0,0,0,0,0,0,0,0,1,8,2,2
1515080723,9,0,0,0,0,0,0,0,0,1,8,2,2
1515080789,9,0,0,0,0,0,0,0,0,1,8,2,2
1515081700,9,0,0,0,0,0,0,0,0,1,8,2,2
1515081711,9,0,0,0,0,0,0,0,0,1,8,2,2
1515092396,9,0,0,0,0,0,0,0,0,1,8,2,2
1515092815,9,0,0,0,0,0,0,0,0,1,8,2,2
1515094998,8,0,0,0,0,0,0,0,0,1,8,2,2
1515148892,1,0,2,0,0,0,0,0,0,0,4,6,0
1515148893,1,0,2,0,0,0,0,0,0,0,4,6,0
1515156016,9,0,2,0,0,0,0,0,0,0,4,6,0
1515156043,9,0,2,0,0,0,0,0,0,0,4,6,0
1515180599,9,0,2,0,0,0,0,0,0,0,4,6,0
1515181157,9,0,2,0,0,0,0,0,0,0,4,6,0
1515257289,9,0,0,0,0,0,0,0,0,0,6,2,2
1515257296,9,0,0,0,0,0,0,0,0,0,6,2,2
1515257486,9,0,0,0,0,0,0,0,0,0,6,2,2
1515257494,9,0,0,0,0,0,0,0,0,0,6,2,2
1515264679,9,0,0,0,0,0,0,0,0,0,6,2,2
1515265220,9,0,0,0,0,0,0,0,0,0,6,2,2
1515333573,9,0,0,0,0,0,0,0,0,0,2,2,0
1515333695,9,0,0,0,0,0,0,0,0,0,2,2,0
1515399947,8,0,3,0,0,0,0,0,0,46,3,6,14
1515399948,8,0,3,0,0,0,0,0,0,46,3,6,14
1515400151,8,0,3,0,0,0,0,0,0,46,3,6,14
1515400341,8,0,3,0,0,0,0,0,0,46,3,6,14
1515412797,9,0,3,0,0,0,0,0,0,46,3,6,14
1515413252,9,0,3,0,0,0,0,0,0,46,3,6,14
1515413752,9,0,3,0,0,0,0,0,0,46,3,6,14
1515419429,8,0,3,0,0,0,0,0,0,46,3,6,14
1515419475,8,0,3,0,0,0,0,0,0,46,3,6,14
1515419476,8,0,3,0,0,0,0,0,0,46,3,6,14
1515419497,8,0,3,0,0,0,0,0,0,46,3,6,14
1515420279,8,0,3,0,0,0,0,0,0,46,3,6,14
1515420821,8,0,3,0,0,0,0,0,0,46,3,6,14
1515420822,8,0,3,0,0,0,0,0,0,46,3,6,14
1515421290,8,0,3,0,0,0,0,0,0,46,3,6,14
1515421441,8,0,3,0,0,0,0,0,0,46,3,6,14
1515421442,8,0,3,0,0,0,0,0,0,46,3,6,14
1515421489,8,0,3,0,0,0,0,0,0,46,3,6,14
1515421537,8,0,3,0,0,0,0,0,0,46,3,6,14
1515421572,8,0,3,0,0,0,0,0,0,46,3,6,14
1515421573,8,0,3,0,0,0,0,0,0,46,3,6,14
1515421782,8,0,3,0,0,0,0,0,0,46,3,6,14
1515421783,8,0,3,0,0,0,0,0,0,46,3,6,14
