timestamp,X1,A,X2,chiamate,p0,p_cappuccio,z,significativo
4435983,40,10,40,4,3.755995507829373e-05,0.012643732254066856,89.66143044899222,0.0
4436001,36,43,36,2,0.00137845035137338,0.028267996925345505,29.31427094479532,0.0
4436288,36,43,36,2,0.00137845035137338,0.028267996925345505,29.31427094479532,0.0
4436439,40,10,40,2,3.755995507829373e-05,0.012643732254066856,89.66143044899222,0.0
4436746,41,42,41,4,0.0007624670880893628,0.01824399579588059,24.455317702748676,0.0
4436820,39,9,39,4,2.629196855480561e-05,0.026950287856683453,279.63194664205844,0.0
4438002,36,8,36,4,2.629196855480561e-05,0.02660517357679577,274.3878807092881,0.0
4438239,40,46,40,2,0.0014197663019595028,0.0233265879178628,22.89840150659125,0.0
4438602,41,42,41,4,0.0007624670880893628,0.01824399579588059,24.455317702748676,0.0
4438861,28,46,28,2,0.0013972303289125267,0.004408050574929016,1.5629618050419678,0.059030789466458566
4439288,41,42,41,4,0.0007624670880893628,0.01824399579588059,24.455317702748676,0.0
4439507,27,47,27,2,0.0015174221851630663,0.0061336219743674215,2.401336736089724,0.008167648324481469
4439918,41,42,41,2,0.0007624670880893628,0.01824399579588059,24.455317702748676,0.0
4440343,36,45,36,4,0.0008075390341833153,0.018589110075768283,24.501528350894656,0.0
4440605,39,9,39,4,2.629196855480561e-05,0.026950287856683453,279.63194664205844,0.0
4440853,39,9,39,4,2.629196855480561e-05,0.026950287856683453,279.63194664205844,0.0
4440955,11,45,11,2,0.0030348443703261327,0.0031530895571556306,0.02702114904104257,0.48922143284677777
4441608,39,9,39,2,2.629196855480561e-05,0.026950287856683453,279.63194664205844,0.0
4442257,36,45,36,4,0.0008075390341833153,0.018589110075768283,24.501528350894656,0.0
4443479,36,8,36,4,2.629196855480561e-05,0.02660517357679577,274.3878807092881,0.0
4443881,40,46,40,2,0.0014197663019595028,0.0233265879178628,22.89840150659125,0.0
4444364,36,8,36,2,2.629196855480561e-05,0.02660517357679577,274.3878807092881,0.0
4446314,36,45,36,2,0.0008075390341833153,0.018589110075768283,24.501528350894656,0.0
4446519,36,45,36,2,0.0008075390341833153,0.018589110075768283,24.501528350894656,0.0
4449613,29,42,29,6,0.0024564210621204107,0.008157246615527006,2.5126030526015573,0.005992204856445471
4449677,41,43,41,4,0.0013371344007872571,0.028095439785401667,29.35415360935844,0.0
4449708,39,45,39,2,0.0007962710476598268,0.019922506157152492,26.37493927754951,0.0
4450001,41,43,41,2,0.0013371344007872571,0.028095439785401667,29.35415360935844,0.0
4450576,29,42,29,4,0.0024564210621204107,0.008157246615527006,2.5126030526015573,0.005992204856445471
4450845,29,42,29,2,0.0024564210621204107,0.008157246615527006,2.5126030526015573,0.005992204856445471
4451964,22,0,22,2,0.0007774910701206803,0.0009725947887743736,0.0564343355756142,0.4774979023478184
4452794,14,47,14,2,0.0042592989058785075,0.008627856997192025,1.2204217052867217,0.11115252665640685
4453314,29,47,29,2,0.001532446167194384,0.00473747784209453,1.56323196105498,0.05899902255727185
4453634,39,45,39,2,0.0007962710476598268,0.019922506157152492,26.37493927754951,0.0
4454051,28,47,28,4,0.0015887860998118244,0.0061336219743674215,2.349706897636745,0.009394099600775974
4454078,31,47,31,6,0.0015662501267648483,0.006008125872590083,2.3534689871978807,0.009299579640777211
4455281,28,47,28,2,0.0015887860998118244,0.0061336219743674215,2.349706897636745,0.009394099600775974
4456251,37,44,37,4,0.001998189610165226,0.03760176949503506,32.76607943651009,0.0
4456480,40,43,40,6,0.001431034288482991,0.027703264467347482,27.75640603274957,0.0
4456835,37,47,37,2,0.0006310072453153347,0.02014212433526284,30.58918288848001,0.0
4457243,12,42,12,8,0.007594622916830992,0.022887351561642115,4.205568859091814,1.302131399316675e-05
4457319,40,43,40,4,0.001431034288482991,0.027703264467347482,27.75640603274957,0.0
4458347,40,43,40,2,0.001431034288482991,0.027703264467347482,27.75640603274957,0.0
4459220,38,45,38,2,0.0008789029488320732,0.021538268467535728,27.808178584781693,0.0
4459793,40,46,40,2,0.0014197663019595028,0.0233265879178628,22.89840150659125,0.0
4460363,38,42,38,2,0.0005821793037135527,0.01747533217249439,27.25932532678778,0.0
4461423,37,47,37,2,0.0006310072453153347,0.02014212433526284,30.58918288848001,0.0
4461784,30,47,30,2,0.0015737621177805072,0.005663011592702403,2.1267210776663226,0.0167216325738887
4462533,31,47,31,4,0.0015662501267648483,0.006008125872590083,2.3534689871978807,0.009299579640777211
4462981,39,42,39,6,0.0007136391464875807,0.016455676345553515,23.042961751929088,0.0
4463291,31,47,31,2,0.0015662501267648483,0.006008125872590083,2.3534689871978807,0.009299579640777211
4463711,39,42,39,4,0.0007136391464875807,0.016455676345553515,23.042961751929088,0.0
4465055,39,42,39,2,0.0007136391464875807,0.016455676345553515,23.042961751929088,0.0
4465895,12,42,12,8,0.007594622916830992,0.022887351561642115,4.205568859091814,1.302131399316675e-05
4467055,36,42,36,2,0.0007286631285188983,0.016330180243776176,22.137506658530043,0.0
4467840,31,45,31,6,0.0019305816910242973,0.0059767518471457465,1.9224909543382016,0.027272005358347284
4468833,31,45,31,4,0.0019305816910242973,0.0059767518471457465,1.9224909543382016,0.027272005358347284
4468918,37,45,37,2,0.0008375869982459501,0.021914756772867743,29.26149222623653,0.0
4468999,29,44,29,4,0.001821657821297245,0.006368927165199931,2.231774246097273,0.012814943641206722
4469209,38,45,38,6,0.0008789029488320732,0.021538268467535728,27.808178584781693,0.0
4470049,31,45,31,2,0.0019305816910242973,0.0059767518471457465,1.9224909543382016,0.027272005358347284
4470643,38,45,38,4,0.0008789029488320732,0.021538268467535728,27.808178584781693,0.0
4470920,38,45,38,4,0.0008789029488320732,0.021538268467535728,27.808178584781693,0.0
4471774,19,0,19,4,0.0007324191240267277,0.0006274805088866928,-0.025436000196146103,0.5101464018071491
4472880,28,46,28,4,0.0013972303289125267,0.004408050574929016,1.5629618050419678,0.059030789466458566
4472912,40,43,40,2,0.001431034288482991,0.027703264467347482,27.75640603274957,0.0
4473140,19,0,19,2,0.0007324191240267277,0.0006274805088866928,-0.025436000196146103,0.5101464018071491
4473780,39,46,39,8,0.0014385462794986495,0.029209217688675543,29.727061211723772,0.0
4473876,19,47,19,2,0.0016901979785232176,0.0021961817811034247,0.12379293074719094,0.4507396146030429
4474242,36,43,36,8,0.00137845035137338,0.028267996925345505,29.31427094479532,0.0
4474509,38,46,38,2,0.00137845035137338,0.025930632029742568,26.64314973127951,0.0
4474603,12,46,12,2,0.002185989385556695,0.002760914239101448,0.15176934295197858,0.43968443138284197
4474991,39,46,39,6,0.0014385462794986495,0.029209217688675543,29.727061211723772,0.0
4475515,22,47,22,4,0.001844193794344222,0.0023216778828807627,0.12541755140904345,0.45009649690405185
4475746,22,47,22,2,0.001844193794344222,0.0023216778828807627,0.12541755140904345,0.45009649690405185
4476178,39,45,39,4,0.0007962710476598268,0.019922506157152492,26.37493927754951,0.0
4476417,39,46,39,4,0.0014385462794986495,0.029209217688675543,29.727061211723772,0.0
4478374,36,43,36,8,0.00137845035137338,0.028267996925345505,29.31427094479532,0.0
4478628,31,45,31,2,0.0019305816910242973,0.0059767518471457465,1.9224909543382016,0.027272005358347284
4479354,28,46,28,2,0.0013972303289125267,0.004408050574929016,1.5629618050419678,0.059030789466458566
4479360,36,43,36,6,0.00137845035137338,0.028267996925345505,29.31427094479532,0.0
4480038,39,46,39,4,0.0014385462794986495,0.029209217688675543,29.727061211723772,0.0
4480410,28,43,28,2,0.0026554888240353665,0.009490642696911229,3.072064621424795,0.0010629184896477906
4480611,22,46,22,2,0.0012507465041071812,0.0016471363358275687,0.10698682979185144,0.4573997140429453
4481163,36,47,36,2,0.0009014389218790494,0.01912246850832196,23.444415805921693,0.0
4481680,38,42,38,4,0.0005821793037135527,0.01747533217249439,27.25932532678778,0.0
4482319,32,42,32,4,0.00245266506661258,0.008863162188024534,2.8245719064113763,0.0023671911919506128
4482325,38,42,38,2,0.0005821793037135527,0.01747533217249439,27.25932532678778,0.0
4483006,41,42,41,2,0.0007624670880893628,0.01824399579588059,24.455317702748676,0.0
4483094,40,42,40,2,0.0007511991015658747,0.019483269800931808,26.96103977510036,0.0
4483173,34,0,34,2,0.0013972303289125267,0.0021020597047704207,0.1970002875631415,0.42191365637471845
4483329,29,42,29,2,0.0024564210621204107,0.008157246615527006,2.5126030526015573,0.005992204856445471
4483755,36,47,36,2,0.0009014389218790494,0.01912246850832196,23.444415805921693,0.0
4485821,12,42,12,6,0.007594622916830992,0.022887351561642115,4.205568859091814,1.302131399316675e-05
4486925,12,42,12,4,0.007594622916830992,0.022887351561642115,4.205568859091814,1.302131399316675e-05
4487074,12,42,12,2,0.007594622916830992,0.022887351561642115,4.205568859091814,1.302131399316675e-05
4487866,22,47,22,2,0.001844193794344222,0.0023216778828807627,0.12541755140904345,0.45009649690405185
4488588,32,43,32,2,0.002418861107042116,0.008580795959025523,2.7625388302841207,0.002867686959717064
4489464,38,47,38,2,0.0007850030611363389,0.01954601785182048,26.29616997121932,0.0
4489549,41,44,41,4,0.0018103898347737574,0.042229438248074416,40.618599514366736,0.0
4489591,41,44,41,4,0.0018103898347737574,0.042229438248074416,40.618599514366736,0.0
4489906,37,45,37,2,0.0008375869982459501,0.021914756772867743,29.26149222623653,0.0
4490279,14,44,14,4,0.0017240019380936821,0.0029805324172117904,0.3878830144167356,0.34905130425643593
4490673,14,44,14,2,0.0017240019380936821,0.0029805324172117904,0.3878830144167356,0.34905130425643593
4490811,41,43,41,4,0.0013371344007872571,0.028095439785401667,29.35415360935844,0.0
4490820,41,44,41,2,0.0018103898347737574,0.042229438248074416,40.618599514366736,0.0
4490837,18,43,18,4,0.001461082252545626,0.00216480775565909,0.19146761923938416,0.42407962365448704
4491052,32,42,32,4,0.00245266506661258,0.008863162188024534,2.8245719064113763,0.0023671911919506128
4491265,38,46,38,2,0.00137845035137338,0.025930632029742568,26.64314973127951,0.0
