A,B,X,Y,Z,chiamate,evento,p0,p_cappuccio,significativo,timestamp,z
,,1766,1773,1766.0,4,1B,0.006050459658707081,0.0014741435226133615,0.7469844886004982,1470170933,-0.665030441383231
,,1766,1773,1766.0,4,1B,0.006050459658707081,0.0014741435226133615,0.7469844886004982,1470170934,-0.665030441383231
,,2038,1935,2038.0,2,1B,0.0004993097776602931,0.00014741435226133616,0.5376488900062878,1470218623,-0.09451229018999137
,,2038,1935,2038.0,2,1B,0.0004993097776602931,0.00014741435226133616,0.5376488900062878,1470223404,-0.09451229018999137
,,1935,2038,1935.0,2,1B,0.0009692483919288043,0.00011793148180906893,0.5498847166559071,1470223539,-0.12537008911085373
,,1810,1766,1810.0,6,1B,0.0009105060651452404,0.0012677634294474911,0.4697710303911443,1470228282,0.07584544444859387
,,1810,1766,1810.0,12,1B,0.0009105060651452404,0.0012677634294474911,0.4697710303911443,1470228283,0.07584544444859387
,,2014,1935,2014.0,2,1B,0.0002349693071342556,5.896574090453446e-05,0.5348447758226712,1470257302,-0.08745425112926511
,,1765,1766,1765.0,2,1B,0.0014391870061973154,0.007282269001710006,0.004451890829132554,1470258618,2.6157266104446166
,,1765,1766,1765.0,2,1B,0.0014391870061973154,0.007282269001710006,0.004451890829132554,1470258620,2.6157266104446166
,,1766,1765,1766.0,4,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1470258668,0.024128583114648147
,,1766,1810,1766.0,4,1B,0.0008223925749698945,0.0019458694498496367,0.4021154580870645,1470311225,0.24787526792859904
,,1766,1810,1766.0,4,1B,0.0008223925749698945,0.0019458694498496367,0.4021154580870645,1470311263,0.24787526792859904
,,1810,1766,1810.0,8,1B,0.0009105060651452404,0.0012677634294474911,0.4697710303911443,1470311374,0.07584544444859387
,,1810,1766,1810.0,8,1B,0.0009105060651452404,0.0012677634294474911,0.4697710303911443,1470311395,0.07584544444859387
,,1931,1791,1931.0,8,1B,0.0009398772285370224,0.006220885665428386,0.026525287403365905,1470338591,1.9345090144660324
,,1931,1791,1931.0,8,1B,0.0009398772285370224,0.006220885665428386,0.026525287403365905,1470338593,1.9345090144660324
,,1791,1931,1791.0,4,1B,0.0017916409668986989,0.00574915973819211,0.19413124864804746,1470338658,0.8627726173605748
,,1791,1931,1791.0,4,1B,0.0017916409668986989,0.00574915973819211,0.19413124864804746,1470338660,0.8627726173605748
,,1931,1791,1931.0,4,1B,0.0009398772285370224,0.006220885665428386,0.026525287403365905,1470338685,1.9345090144660324
,,1931,1791,1931.0,4,1B,0.0009398772285370224,0.006220885665428386,0.026525287403365905,1470338686,1.9345090144660324
,,1822,1766,1822.0,8,1B,5.8742326783563894e-05,0.0002948287045226723,0.455782141109856,1470352226,0.11106565666266316
,,1822,1766,1822.0,12,1B,5.8742326783563894e-05,0.0002948287045226723,0.455782141109856,1470352569,0.11106565666266316
,,1766,1822,1766.0,12,1B,0.0003818251240931654,0.00017689722271360342,0.5059178084764306,1470352985,-0.014834290095739616
,,1931,1931,1931.0,2,1B,0.0001174846535671278,8.844861135680171e-05,0.503022896412234,1470359327,-0.007577350128047624
,,1773,1766,1773.0,8,1B,0.0023790642347343376,0.003272598620201663,0.3899830042757649,1470514190,0.27936333140863623
,,1766,1773,1766.0,8,1B,0.006050459658707081,0.0014741435226133615,0.7469844886004982,1470514671,-0.665030441383231
,,1766,1773,1766.0,8,1B,0.006050459658707081,0.0014741435226133615,0.7469844886004982,1470514672,-0.665030441383231
,,1773,1766,1773.0,8,1B,0.0023790642347343376,0.003272598620201663,0.3899830042757649,1470515339,0.27936333140863623
,,1773,1766,1773.0,8,1B,0.0023790642347343376,0.003272598620201663,0.3899830042757649,1470515472,0.27936333140863623
,,1773,1766,1773.0,2,1B,0.0023790642347343376,0.003272598620201663,0.3899830042757649,1470569919,0.27936333140863623
,,1773,1766,1773.0,2,1B,0.0023790642347343376,0.003272598620201663,0.3899830042757649,1470569920,0.27936333140863623
,,1766,1773,1766.0,8,1B,0.006050459658707081,0.0014741435226133615,0.7469844886004982,1470569976,-0.665030441383231
,,1773,1766,1773.0,12,1B,0.0023790642347343376,0.003272598620201663,0.3899830042757649,1470578901,0.27936333140863623
,,1935,2050,1935.0,8,1B,0.0,0.0011793148180906893,0.0,1470629463,inf
,,1935,2050,1935.0,8,1B,0.0,0.0011793148180906893,0.0,1470629464,inf
,,1935,2050,1935.0,8,1B,0.0,0.0011793148180906893,0.0,1470629673,inf
,,1935,2050,1935.0,8,1B,0.0,0.0011793148180906893,0.0,1470629674,inf
,,1935,2050,1935.0,12,1B,0.0,0.0011793148180906893,0.0,1470630231,inf
,,1935,2050,1935.0,12,1B,0.0,0.0011793148180906893,0.0,1470630232,inf
,,2050,1935,2050.0,16,1B,0.0002937116339178195,0.00035379444542720683,0.4965736335267766,1470630545,0.008588732673074334
,,1935,2050,1935.0,8,1B,0.0,0.0011793148180906893,0.0,1470630769,inf
,,1935,2050,1935.0,8,1B,0.0,0.0011793148180906893,0.0,1470630772,inf
,,2050,1935,2050.0,4,1B,0.0002937116339178195,0.00035379444542720683,0.4965736335267766,1470630960,0.008588732673074334
,,2050,1935,2050.0,4,1B,0.0002937116339178195,0.00035379444542720683,0.4965736335267766,1470630963,0.008588732673074334
,,1935,2050,1935.0,8,1B,0.0,0.0011793148180906893,0.0,1470631384,inf
,,1931,1838,1931.0,4,1B,0.0038769935677152173,0.005572262515478507,0.3734331869672399,1470741334,0.3227740409471956
,,1931,1838,1931.0,4,1B,0.0038769935677152173,0.005572262515478507,0.3734331869672399,1470741339,0.3227740409471956
,,1838,1931,1838.0,8,1B,0.0026434047052603755,0.005277433810955834,0.23241828535818465,1470750681,0.7309060003092324
,,1931,1838,1931.0,16,1B,0.0038769935677152173,0.005572262515478507,0.3734331869672399,1470750715,0.3227740409471956
,,1838,1931,1838.0,4,1B,0.0026434047052603755,0.005277433810955834,0.23241828535818465,1470750740,0.7309060003092324
,,1838,1931,1838.0,4,1B,0.0026434047052603755,0.005277433810955834,0.23241828535818465,1470750747,0.7309060003092324
,,1931,1838,1931.0,4,1B,0.0038769935677152173,0.005572262515478507,0.3734331869672399,1470751088,0.3227740409471956
,,1931,1838,1931.0,4,1B,0.0038769935677152173,0.005572262515478507,0.3734331869672399,1470751090,0.3227740409471956
,,1831,1931,1831.0,2,1B,0.0002643404705260375,8.844861135680171e-05,0.5086323190998879,1470833700,-0.021639703907955908
,,1931,1831,1931.0,2,1B,8.811349017534584e-05,0.00011793148180906893,0.4959924487732453,1470842458,0.010045610172050459
,,1931,1831,1931.0,2,1B,8.811349017534584e-05,0.00011793148180906893,0.4959924487732453,1470842486,0.010045610172050459
,,1831,1931,1831.0,4,1B,0.0002643404705260375,8.844861135680171e-05,0.5086323190998879,1470843166,-0.021639703907955908
,,1931,1831,1931.0,4,1B,8.811349017534584e-05,0.00011793148180906893,0.4959924487732453,1470844424,0.010045610172050459
,,1791,1931,1791.0,8,1B,0.0017916409668986989,0.00574915973819211,0.19413124864804746,1470933453,0.8627726173605748
,,1791,1931,1791.0,8,1B,0.0017916409668986989,0.00574915973819211,0.19413124864804746,1470933457,0.8627726173605748
,,2038,1935,2038.0,2,1B,0.0004993097776602931,0.00014741435226133616,0.5376488900062878,1470940647,-0.09451229018999137
,,1931,1842,1931.0,2,1B,0.0006167944312274209,0.0021227666725632407,0.324944928086877,1471035416,0.4539152093324616
,,1931,1842,1931.0,2,1B,0.0006167944312274209,0.0021227666725632407,0.324944928086877,1471036451,0.4539152093324616
,,1842,1931,1842.0,2,1B,0.0009692483919288043,0.0014151777817088273,0.4565468037182576,1471036529,0.10913727858440136
,,1931,1842,1931.0,8,1B,0.0006167944312274209,0.0021227666725632407,0.324944928086877,1471038729,0.4539152093324616
,,1842,1931,1842.0,6,1B,0.0009692483919288043,0.0014151777817088273,0.4565468037182576,1471038863,0.10913727858440136
,,1931,1842,1931.0,6,1B,0.0006167944312274209,0.0021227666725632407,0.324944928086877,1471038877,0.4539152093324616
,,1931,1842,1931.0,6,1B,0.0006167944312274209,0.0021227666725632407,0.324944928086877,1471038901,0.4539152093324616
,,1842,1931,1842.0,2,1B,0.0009692483919288043,0.0014151777817088273,0.4565468037182576,1471038928,0.10913727858440136
,,1931,1842,1931.0,4,1B,0.0006167944312274209,0.0021227666725632407,0.324944928086877,1471038928,0.4539152093324616
,,1766,1765,1766.0,26,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1471110676,0.024128583114648147
,,1766,1765,1766.0,26,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1471110680,0.024128583114648147
,,1765,1766,1765.0,40,1B,0.0014391870061973154,0.007282269001710006,0.004451890829132554,1471110801,2.6157266104446166
,,1765,1766,1765.0,40,1B,0.0014391870061973154,0.007282269001710006,0.004451890829132554,1471110802,2.6157266104446166
,,1766,1765,1766.0,22,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1471110807,0.024128583114648147
,,1766,1765,1766.0,22,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1471110828,0.024128583114648147
,,1766,1765,1766.0,22,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1471110833,0.024128583114648147
,,1766,1765,1766.0,22,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1471110840,0.024128583114648147
,,1766,1765,1766.0,22,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1471110844,0.024128583114648147
,,1765,1766,1765.0,30,1B,0.0014391870061973154,0.007282269001710006,0.004451890829132554,1471110900,2.6157266104446166
,,1765,1766,1765.0,30,1B,0.0014391870061973154,0.007282269001710006,0.004451890829132554,1471110901,2.6157266104446166
,,1765,1766,1765.0,30,1B,0.0014391870061973154,0.007282269001710006,0.004451890829132554,1471110902,2.6157266104446166
,,1766,1765,1766.0,16,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1471110906,0.024128583114648147
,,1766,1765,1766.0,16,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1471110926,0.024128583114648147
,,1766,1765,1766.0,16,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1471110931,0.024128583114648147
,,1765,1766,1765.0,24,1B,0.0014391870061973154,0.007282269001710006,0.004451890829132554,1471110977,2.6157266104446166
,,1765,1766,1765.0,48,1B,0.0014391870061973154,0.007282269001710006,0.004451890829132554,1471110978,2.6157266104446166
,,1766,1765,1766.0,10,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1471110982,0.024128583114648147
,,1766,1765,1766.0,10,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1471111002,0.024128583114648147
,,1766,1765,1766.0,10,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1471111007,0.024128583114648147
,,1766,1765,1766.0,10,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1471111069,0.024128583114648147
,,1766,1765,1766.0,10,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1471111073,0.024128583114648147
,,1765,1766,1765.0,14,1B,0.0014391870061973154,0.007282269001710006,0.004451890829132554,1471111086,2.6157266104446166
,,1765,1766,1765.0,14,1B,0.0014391870061973154,0.007282269001710006,0.004451890829132554,1471111087,2.6157266104446166
,,1765,1766,1765.0,14,1B,0.0014391870061973154,0.007282269001710006,0.004451890829132554,1471111099,2.6157266104446166
,,1766,1765,1766.0,4,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1471111103,0.024128583114648147
,,1766,1765,1766.0,4,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1471111232,0.024128583114648147
,,1766,1765,1766.0,4,1B,0.00693159456046054,0.0071348546494486706,0.4903750219637387,1471111237,0.024128583114648147
,,1765,1766,1765.0,16,1B,0.0014391870061973154,0.007282269001710006,0.004451890829132554,1471111252,2.6157266104446166
